"your delegates",,"στους εκπροσώπους σας",,"None",,"All",,"Skype for Business for iOS",,""
"Delegates",,"Εκπρόσωποι",,"None",,"All",,"Skype for Business for iOS",,""
"Delete",,"Διαγραφή",,"None",,"All",,"Skype for Business for iOS",,""
"Delete (%d)",,"Διαγραφή (%d)",,"None",,"All",,"Skype for Business for iOS",,""
"Make Attendee",,"Να γίνει παρευρισκόμενος",,"None",,"All",,"Skype for Business for iOS",,""
"Deny",,"Απόρριψη",,"None",,"All",,"Skype for Business for iOS",,""
"Deny all",,"Απόρριψη όλων",,"None",,"All",,"Skype for Business for iOS",,""
"Department",,"Τμήμα",,"None",,"All",,"Skype for Business for iOS",,""
"Deselect All",,"Κατάργηση επιλογής όλων",,"None",,"All",,"Skype for Business for iOS",,""
"Card",,"Κάρτα",,"None",,"All",,"Skype for Business for iOS",,""
"Please reconnect the device and try again",,"Συνδέστε ξανά τη συσκευή και δοκιμάστε ξανά",,"None",,"All",,"Skype for Business for iOS",,""
"Oregon Speakerphone Disconnected",,"Το Oregon Speakerphone έχει αποσυνδεθεί",,"None",,"All",,"Skype for Business for iOS",,""
"Device Model:",,"Μοντέλο συσκευής:",,"None",,"All",,"Skype for Business for iOS",,""
"Device OS Name:",,"Όνομα λειτουργικού συστήματος συσκευής:",,"None",,"All",,"Skype for Business for iOS",,""
"Device OS Version:",,"Έκδοση λειτουργικού συστήματος συσκευής:",,"None",,"All",,"Skype for Business for iOS",,""
"Mobile",,"Κινητό",,"None",,"All",,"Skype for Business for iOS",,""
"Dial In",,"Κλήση σύνδεσης",,"None",,"All",,"Skype for Business for iOS",,""
"City/State",,"Πόλη/νομός",,"None",,"All",,"Skype for Business for iOS",,""
"Clear Recent Locations",,"Απαλοιφή πρόσφατων τοποθεσιών",,"None",,"All",,"Skype for Business for iOS",,""
"Country/Region",,"Χώρα/Περιοχή",,"None",,"All",,"Skype for Business for iOS",,""
"Current Number",,"Τρέχων αριθμός",,"None",,"All",,"Skype for Business for iOS",,""
"To find a local dial-in number and avoid possible charges, change the location below.",,"Για την εύρεση ενός τοπικού αριθμού κλήσης σύνδεσης και την αποφυγή πιθανών χρεώσεων, αλλάξτε την τοποθεσία παρακάτω.",,"None",,"All",,"Skype for Business for iOS",,""
"Recent Locations",,"Πρόσφατες τοποθεσίες",,"None",,"All",,"Skype for Business for iOS",,""
"Select",,"Επιλογή",,"None",,"All",,"Skype for Business for iOS",,""
"Location",,"Τοποθεσία",,"None",,"All",,"Skype for Business for iOS",,""
"Keypad",,"Πληκτρολόγιο",,"None",,"All",,"Skype for Business for iOS",,""
"Dial Pad",,"Πληκτρολόγιο",,"None",,"All",,"Skype for Business for iOS",,""
"Dialpad",,"Πληκτρολόγιο",,"None",,"All",,"Skype for Business for iOS",,""
"Pound",,"Δίεση",,"None",,"All",,"Skype for Business for iOS",,""
"Phone contacts",,"Επαφές τηλεφώνου",,"None",,"All",,"Skype for Business for iOS",,""
"Recent calls",,"Πρόσφατες κλήσεις",,"None",,"All",,"Skype for Business for iOS",,""
"%@, Disabled",,"%@, απενεργοποιημένο",,"None",,"All",,"Skype for Business for iOS",,""
"You were disconnected because you joined from another client.",,"Έχετε αποσυνδεθεί, επειδή συνδεθήκατε από διαφορετικό υπολογιστή-πελάτη.",,"None",,"All",,"Skype for Business for iOS",,""
"Network issues are keeping you from seeing the presentation.",,"Προβλήματα δικτύου εμποδίζουν την προβολή της παρουσίασης.",,"None",,"All",,"Skype for Business for iOS",,""
"Dismiss",,"Ματαίωση",,"None",,"All",,"Skype for Business for iOS",,""
"Do Not Disturb",,"Μην ενοχλείτε",,"None",,"All",,"Skype for Business for iOS",,""
"Do Not Forward",,"Να μην γίνεται προώθηση κλήσεων",,"None",,"All",,"Skype for Business for iOS",,""
"Calls will ring you at work and won't be forwarded. You won't receive calls on your mobile phone when VoIP is unavailable.",,"Οι κλήσεις θα λαμβάνονται στον αριθμό εργασίας σας και δεν θα προωθούνται. Δεν θα λαμβάνετε κλήσεις στο κινητό σας όταν δεν είναι διαθέσιμο το VoIP.",,"None",,"All",,"Skype for Business for iOS",,""
"Calls will ring you at work and will not be forwarded to any other phone numbers.",,"Οι κλήσεις θα λαμβάνονται στον αριθμό εργασίας και δεν θα προωθούνται σε άλλον αριθμό.",,"None",,"All",,"Skype for Business for iOS",,""
"Calls will ring you at work and won't be forwarded. You won’t get calls on your iPad when VoIP is unavailable.",,"Οι κλήσεις θα λαμβάνονται στην εργασία σας και δεν θα προωθούνται. Δεν θα λαμβάνετε κλήσεις στο iPad σας όταν το VoIP δεν είναι διαθέσιμο.",,"None",,"All",,"Skype for Business for iOS",,""
"Help us test the latest features by installing the Dogfood version of Skype for Business",,"Βοηθήστε μας να δοκιμάσουμε τις τελευταίες δυνατότητες εγκαθιστώντας τη δοκιμαστική έκδοση του Skype για επιχειρήσεις",,"None",,"All",,"Skype for Business for iOS",,""
"Domain",,"Τομέας",,"None",,"All",,"Skype for Business for iOS",,""
"Done",,"Τέλος",,"None",,"All",,"Skype for Business for iOS",,""
"Don't Send",,"Να μην αποσταλεί",,"None",,"All",,"Skype for Business for iOS",,""
"Duration:",,"Διάρκεια:",,"None",,"All",,"Skype for Business for iOS",,""
"During Outlook Work Hours",,"Όταν λειτουργεί το Outlook",,"None",,"All",,"Skype for Business for iOS",,""
"During Working Hours",,"Τις ώρες εργασίας",,"None",,"All",,"Skype for Business for iOS",,""
"Email",,"Email",,"None",,"All",,"Skype for Business for iOS",,""
"We can't add this contact right now. Please try again later.",,"Δεν μπορούμε να προσθέσουμε αυτήν την επαφή τώρα. Προσπαθήστε ξανά αργότερα.",,"None",,"All",,"Skype for Business for iOS",,""
"You can't add any more contacts to this group.",,"Δεν μπορείτε να προσθέσετε άλλες επαφές σε αυτήν την ομάδα.",,"None",,"All",,"Skype for Business for iOS",,""
"The contact is already in this group.",,"Η επαφή βρίσκεται ήδη σε αυτήν την ομάδα.",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn’t add the participant.",,"Δεν μπορέσαμε να προσθέσουμε τον συμμετέχοντα.",,"None",,"All",,"Skype for Business for iOS",,""
"You’ve been signed out due to inactivity.",,"Έχετε αποσυνδεθεί λόγω αδράνειας.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t sign you in. Please check your account details, advanced options and try again.",,"Δεν είναι δυνατή η είσοδος. Ελέγξτε τις λεπτομέρειες του λογαριασμού σας στις επιλογές για προχωρημένους και δοκιμάστε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t sign you in. Please contact your support team.",,"Δεν είναι δυνατή η είσοδος. Επικοινωνήστε με την ομάδα υποστήριξης.",,"None",,"All",,"Skype for Business for iOS",,""
"Your password has expired. Please update it and try again.",,"Ο κωδικός πρόσβασής σας έχει λήξει. Ενημερώστε τον και δοκιμάστε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect to the server. 1) It might be unavailable. 2) Check your network connection. 3) Make sure you’re using the Skype for Business account info provided by your organization. 4) Your user name might be different from your sign-in name. Tap Advanced Options and enter your user name or domain\\username.",,""Δεν είναι δυνατή η σύνδεση στο διακομιστή. 1) Ενδέχεται να μην είναι διαθέσιμος. 2) Ελέγξτε τη σύνδεση του δικτύου σας. 3) Βεβαιωθείτε ότι χρησιμοποιείτε τις πληροφορίες λογαριασμού Skype για επιχειρήσεις που σας δόθηκαν από την εταιρεία σας. 4) Το όνομα χρήστη που χρησιμοποιείτε ενδέχεται να είναι διαφορετικό από το όνομα εισόδου. Πατήστε ""Επιλογές για προχωρημένους"" και πληκτρολογήστε το όνομα χρήστη ή τον τομέα\\όνομα χρήστη που χρησιμοποιείτε."",,"None",,"All",,"Skype for Business for iOS",,""
"Your server configuration has changed. Please restart Skype for Business.",,"Οι παράμετροι διακομιστή έχουν αλλάξει. Κάντε επανεκκίνηση του Skype για επιχειρήσεις.",,"None",,"All",,"Skype for Business for iOS",,""
"Your call ended due to connectivity issues. Please retry.",,"Η κλήση σας τερματίστηκε λόγω ζητημάτων συνδεσιμότητας. Δοκιμάστε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
"Can't connect to the server. Attempting to re-establish the connection. If the problem persists, contact your support team.",,"Δεν είναι δυνατή η σύνδεση στο διακομιστή. Επιχειρείται αποκατάσταση της σύνδεσης. Εάν το πρόβλημα συνεχιστεί, επικοινωνήστε με την ομάδα υποστήριξης.",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't sign you in. Please try again. If the problem persists, please contact your support team.",,"Δεν ήταν δυνατή η είσοδός σας. Δοκιμάστε ξανά. Αν το πρόβλημα επιμένει, επικοινωνήστε με την ομάδα υποστήριξης.",,"None",,"All",,"Skype for Business for iOS",,""
"You can’t sign in with this version of Skype for Business. Please install a newer version. If that doesn’t work, contact your support team.",,"Δεν είναι δυνατή η είσοδος με αυτή την έκδοση του Skype για επιχειρήσεις. Εγκαταστήστε μια νεότερη έκδοση. Εάν αυτό δεν έχει αποτέλεσμα, επικοινωνήστε με την ομάδα υποστήριξης.",,"None",,"All",,"Skype for Business for iOS",,""
"We can't sign you in because your organization doesn't support this version of Skype for Business. Please install Lync 2010 from your mobile store.",,"Δεν είναι δυνατή η είσοδος διότι ο οργανισμός σας δεν υποστηρίζει αυτή την έκδοση του Skype για επιχειρήσεις. Εγκαταστήστε το Lync 2010 από το ηλεκτρονικό κατάστημα.",,"None",,"All",,"Skype for Business for iOS",,""
"You were disconnected from the presentation due to network issues.",,"Έχετε αποσυνδεθεί από την παρουσίαση λόγω προβλημάτων δικτύου.",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't join you to the meeting. Please try again.",,"Δεν ήταν δυνατή η συμμετοχή σας στη σύσκεψη. Δοκιμάστε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
"You can't join the meeting because it's locked. Try contacting the organizer.",,"Δεν μπορείτε να συμμετάσχετε στη σύσκεψη επειδή είναι κλειδωμένη. Προσπαθήστε να επικοινωνήσετε με τον διοργανωτή.",,"None",,"All",,"Skype for Business for iOS",,""
"You're not set up to join Skype Meetings.",,"Δεν έχουν γίνει ρυθμίσεις για συμμετοχή σε συσκέψεις Skype.",,"None",,"All",,"Skype for Business for iOS",,""
"You were denied entry by the presenter.",,"Ο παρουσιαστής απέρριψε την είσοδό σας.",,"None",,"All",,"Skype for Business for iOS",,""
"Can't join conference while application is not signed in.",,"Δεν είναι δυνατή η συμμετοχή στη διάσκεψη, ενώ η εφαρμογή δεν έχει εισέλθει.",,"None",,"All",,"Skype for Business for iOS",,""
"You were removed from the meeting.",,"Καταργηθήκατε από τη σύσκεψη.",,"None",,"All",,"Skype for Business for iOS",,""
"You're joining using a meetings-only version of the app. We'll sign you back in to the regular app when you're done.",,"Συμμετέχετε χρησιμοποιώντας μια έκδοση της εφαρμογής μόνο για συσκέψεις. Θα σας συνδέσουμε ξανά με την κανονική εφαρμογή, όταν είστε έτοιμοι.",,"None",,"All",,"Skype for Business for iOS",,""
"The server does not support anonymous meeting join via this device.",,"Ο διακομιστής δεν υποστηρίζει ανώνυμη συμμετοχή στη σύσκεψη μέσω αυτής της συσκευής.",,"None",,"All",,"Skype for Business for iOS",,""
"You can’t start a meeting because another one is starting.",,"Δεν είναι δυνατή η έναρξη μιας σύσκεψης, επειδή ξεκινά μια άλλη σύσκεψη.",,"None",,"All",,"Skype for Business for iOS",,""
"The call was disconnected.",,"Η κλήση αποσυνδέθηκε.",,"None",,"All",,"Skype for Business for iOS",,""
"The call wasn't completed or has ended.",,"Η κλήση δεν ολοκληρώθηκε ή τερματίστηκε.",,"None",,"All",,"Skype for Business for iOS",,""
"This online meeting can’t be found.",,"Δεν είναι δυνατή η εύρεση της ηλεκτρονικής σύσκεψης.",,"None",,"All",,"Skype for Business for iOS",,""
"You can't join this type of online meeting.",,"Δεν είναι δυνατή η σύνδεση σε αυτόν τον τύπο ηλεκτρονικής σύσκεψης.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t join the meeting as an anonymous attendee.",,"Δεν είναι δυνατή η συμμετοχή στη σύσκεψη ως ανώνυμος συμμετέχων.",,"None",,"All",,"Skype for Business for iOS",,""
"You don’t have permission to join the meeting.",,"Δεν έχετε δικαίωμα συμμετοχής στη σύσκεψη.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t join this meeting from outside your organization.",,"Δεν είναι δυνατή η συμμετοχή στη σύσκεψη εκτός του οργανισμού σας.",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn’t join you to the meeting. Please try again.",,"Δεν μπορέσαμε να σας συνδέσουμε στη σύσκεψη. Δοκιμάστε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t join the meeting due to an invitation error.",,"Δεν είναι δυνατή η συμμετοχή στη σύσκεψη, λόγω σφάλματος πρόσκλησης.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t join this type of online meeting.",,"Δεν είναι δυνατή η συμμετοχή σε αυτόν τον τύπο ηλεκτρονικής σύσκεψης.",,"None",,"All",,"Skype for Business for iOS",,""
"You can’t join the meeting because the network is busy.",,"Δεν μπορείτε να συμμετάσχετε στη σύσκεψη, επειδή το δίκτυο είναι απασχολημένο.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t reach %@.",,"Δεν είναι δυνατή η επικοινωνία με το χρήστη %@.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t reach %@. Try again later.",,"Δεν είναι δυνατή η επικοινωνία με το χρήστη %@. Δοκιμάστε ξανά αργότερα.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t start the Skype Meeting due to encryption issues.",,"Δεν είναι δυνατή η έναρξη της σύσκεψης Skype λόγω προβλημάτων κρυπτογράφησης.",,"None",,"All",,"Skype for Business for iOS",,""
"The meeting you're trying to join isn’t available.",,"Η σύσκεψη στην οποία προσπαθείτε να συμμετάσχετε δεν είναι διαθέσιμη.",,"None",,"All",,"Skype for Business for iOS",,""
"This meeting was ended due to inactivity.",,"Η σύσκεψη τερματίστηκε λόγω αδράνειας.",,"None",,"All",,"Skype for Business for iOS",,""
"The meeting ended because the hosts have left.",,"Η σύσκεψη τερματίστηκε, επειδή οι διοργανωτές αποχώρησαν.",,"None",,"All",,"Skype for Business for iOS",,""
"This meeting feature isn’t enabled by your organization.",,"Η δυνατότητα σύσκεψης δεν είναι ενεργοποιημένη από τον οργανισμό σας.",,"None",,"All",,"Skype for Business for iOS",,""
"The meeting is full.",,"Η σύσκεψη είναι πλήρης.",,"None",,"All",,"Skype for Business for iOS",,""
"The invitation to %@ expired.",,"Η πρόσκληση στο χρήστη %@ έληξε.",,"None",,"All",,"Skype for Business for iOS",,""
"You're already in a meeting. Do you want to leave it and join this one?",,"Βρίσκεστε ήδη σε σύσκεψη. Θέλετε να βγείτε από την τρέχουσα σύσκεψη και να συνδεθείτε σε αυτή;",,"None",,"All",,"Skype for Business for iOS",,""
" %@ couldn't join the meeting.",,"Δεν ήταν δυνατή η συμμετοχή του χρήστη %@ στη σύσκεψη.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t invite %@ because the meeting is full.",,"Δεν είναι δυνατή η πρόσκληση του χρήστη %@, επειδή η σύσκεψη είναι πλήρης.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t add %@ to the meeting because the network is busy.",,"Δεν είναι δυνατή η προσθήκη του χρήστη %@ στη σύσκεψη, επειδή το δίκτυο είναι απασχολημένο.",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't reach %@.",,"Δεν είναι δυνατή η επικοινωνία με το χρήστη %@.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ declined your invitation.",,"Ο χρήστης %@ απέρριψε την πρόσκλησή σας.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ didn’t respond to the invitation.",,"Ο χρήστης %@ δεν απάντησε στην πρόσκληση.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ can’t be found. Please check the address.",,"Δεν είναι δυνατή η εύρεση του χρήστη %@. Ελέγξτε τη διεύθυνση.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ has a Do Not Disturb status and can’t be reached.",,""Ο χρήστης %@ έχει κατάσταση ""Μην ενοχλείτε"" και δεν είναι δυνατή η επικοινωνία μαζί του."",,"None",,"All",,"Skype for Business for iOS",,""
"%@ can’t be reached and might be offline.",,"Δεν είναι δυνατή η επικοινωνία με το χρήστη %@ και ίσως να βρίσκεται εκτός σύνδεσης.",,"None",,"All",,"Skype for Business for iOS",,""
"A presenter has ended the meeting.",,"Ένας παρουσιαστής τερμάτισε τη σύσκεψη.",,"None",,"All",,"Skype for Business for iOS",,""
"A server error occurred. Please contact your support team.",,"Παρουσιάστηκε σφάλμα διακομιστή. Επικοινωνήστε με την ομάδα υποστήριξης.",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't complete your call.",,"Δεν μπορέσαμε να ολοκληρώσουμε την κλήση σας.",,"None",,"All",,"Skype for Business for iOS",,""
"The subject line is too long.",,"Η γραμμή θέματος είναι υπερβολικά μεγάλη.",,"None",,"All",,"Skype for Business for iOS",,""
"You don’t have sufficient permissions to join from or dial out another device.",,"Δεν έχετε επαρκή δικαιώματα για συμμετοχή από άλλη συσκευή ή για κλήση σε άλλη συσκευή.",,"None",,"All",,"Skype for Business for iOS",,""
"You don’t have permission to join this meeting.",,"Δεν έχετε δικαίωμα συμμετοχής σε αυτήν τη σύσκεψη.",,"None",,"All",,"Skype for Business for iOS",,""
"You were not admitted into the meeting.",,"Δεν έγινε αποδεκτή η συμμετοχή σας στη σύσκεψη.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect to the server. Check your network connection, advanced options and try again.",,"Δεν είναι δυνατή η σύνδεση στο διακομιστή. Ελέγξτε τη σύνδεση δικτύου στις επιλογές για προχωρημένους και δοκιμάστε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t connect to the server. It may be busy or temporarily unavailable. Please try again.",,"Δεν είναι δυνατή η σύνδεση στο διακομιστή. Ενδέχεται να είναι απασχολημένος ή προσωρινά μη διαθέσιμος. Δοκιμάστε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
"Conversation history can't be updated right now and might be out of sync",,"Δεν είναι δυνατή η ενημέρωση του ιστορικού συνομιλίας αυτήν τη στιγμή και ίσως να μην είναι συγχρονισμένο.",,"None",,"All",,"Skype for Business for iOS",,""
"Conversation history can't be updated right now and might be out of sync.",,"Δεν είναι δυνατή η ενημέρωση του ιστορικού συνομιλίας αυτήν τη στιγμή και ίσως να μην είναι συγχρονισμένο.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t get group members to invite. Try again later.",,"Δεν είναι δυνατή η λήψη μελών ομάδας για αποστολή πρόσκλησης. Δοκιμάστε ξανά αργότερα.",,"None",,"All",,"Skype for Business for iOS",,""
"Group does not have any individual members and can’t be invited.",,"Η ομάδα δεν έχει μεμονωμένα μέλη και δεν είναι δυνατή η αποστολή πρόσκλησης.",,"None",,"All",,"Skype for Business for iOS",,""
"Group is too large to invite.",,"Η ομάδα είναι πολύ μεγάλη για αποστολή πρόσκλησης.",,"None",,"All",,"Skype for Business for iOS",,""
"You have been disconnected because you have joined from another client.",,"Αποσυνδεθήκατε επειδή εισήλθατε από άλλο πρόγραμμα-πελάτη.",,"None",,"All",,"Skype for Business for iOS",,""
"Can't connect to the server. Accept the redirection prompt.",,"Δεν είναι δυνατή η σύνδεση στο διακομιστή. Αποδεχτείτε την προτροπή ανακατεύθυνσης.",,"None",,"All",,"Skype for Business for iOS",,""
"There's an encryption mismatch between you and %@. Contact your support team.",,"Υπάρχει μια ασυμφωνία κρυπτογράφησης ανάμεσα σε εσάς και τον χρήστη %@. Επικοινωνήστε με την ομάδα υποστήριξης.",,"None",,"All",,"Skype for Business for iOS",,""
"Your Exchange login credentials aren’t valid. Try updating your Exchange or Skype for Business credentials.",,"Τα διαπιστευτήρια σύνδεσης στο Exchange δεν είναι έγκυρα. Δοκιμάστε να ενημερώσετε τα διαπιστευτήρια του Exchange ή του Skype για επιχειρήσεις.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect to Exchange. Please try again later.",,"Δεν είναι δυνατή η σύνδεση στο Exchange. Δοκιμάστε ξανά αργότερα.",,"None",,"All",,"Skype for Business for iOS",,""
"There is an error in the application. Please restart the application.",,"Υπάρχει σφάλμα στην εφαρμογή. Επανεκκινήστε την εφαρμογή.",,"None",,"All",,"Skype for Business for iOS",,""
"An error occurred in Skype for Business. Please retry. If the problem persists, contact your support team.",,"Παρουσιάστηκε σφάλμα στο Skype για επιχειρήσεις. Δοκιμάστε ξανά. Αν το πρόβλημα συνεχιστεί, επικοινωνήστε με την ομάδα υποστήριξης.",,"None",,"All",,"Skype for Business for iOS",,""
"Can't connect you to the desktop or program presentation right now.",,"Δεν είναι δυνατή η σύνδεσή σας στην παρουσίαση επιφάνειας εργασίας ή προγράμματος αυτήν τη στιγμή.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t find that group.",,"Δεν μπορούμε να βρούμε αυτή την ομάδα.",,"None",,"All",,"Skype for Business for iOS",,""
"History for this conversation can’t be shown.",,"Δεν είναι δυνατό να εμφανιστεί το ιστορικό για αυτήν τη συνομιλία.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t sign in because the server is temporarily unavailable.",,"Δεν είναι δυνατή η είσοδος, επειδή ο διακομιστής δεν είναι προσωρινά διαθέσιμος.",,"None",,"All",,"Skype for Business for iOS",,""
"You accepted this conversation somewhere else. To restart it, send a new message.",,"Αποδεχτήκατε αυτήν τη συνομιλία από κάπου αλλού. Για να την επανεκκινήσετε, στείλτε ένα νέο μήνυμα.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ didn’t get this message because policy restricts delivery:",,"Ο χρήστης %@ δεν έλαβε το μήνυμα, επειδή η πολιτική περιορίζει την παράδοση:",,"None",,"All",,"Skype for Business for iOS",,""
"One or more participants didn't get this message:",,"Ένας ή περισσότεροι συμμετέχοντες δεν έλαβαν αυτό το μήνυμα:",,"None",,"All",,"Skype for Business for iOS",,""
"IM content was removed because it's restricted by policy.",,"Το περιεχόμενο ανταλλαγής άμεσων μηνυμάτων καταργήθηκε, επειδή περιορίζεται από πολιτική.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t send this message because of blocked content:",,"Δεν είναι δυνατή η αποστολή του μηνύματος, λόγω αποκλεισμένου περιεχομένου:",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t send your IM—you're already in a conversation with %@.",,"Δεν μπορούμε να στείλουμε το άμεσο μήνυμά σας—είστε ήδη σε συνομιλία με το χρήστη %@.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ didn’t get this message because it’s too large:",,"Ο χρήστης %@ δεν έλαβε το μήνυμα, επειδή είναι πολύ μεγάλο:",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't reach %@ to send this message:",,"Δεν μπορέσαμε να επικοινωνήσουμε με το χρήστη %@ για να στείλουμε αυτό το μήνυμα:",,"None",,"All",,"Skype for Business for iOS",,""
"%@ didn’t get this message because the format isn’t allowed:",,"Ο χρήστης %@ δεν έλαβε το μήνυμα, επειδή αυτή η μορφή δεν επιτρέπεται:",,"None",,"All",,"Skype for Business for iOS",,""
"The device %@ is using can’t get messages.",,"Η συσκευή που χρησιμοποιεί ο χρήστης %@ δεν μπορεί να λάβει μηνύματα.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ can’t accept messaging invitations. This message wasn’t delivered",,"Ο χρήστης %@ δεν μπορεί να αποδεχτεί προσκλήσεις ανταλλαγής μηνυμάτων. Το μήνυμα αυτό δεν παραδόθηκε",,"None",,"All",,"Skype for Business for iOS",,""
"%@ does not support messaging. This message wasn’t delivered",,"Ο χρήστης %@ δεν υποστηρίζει ανταλλαγή μηνυμάτων. Το μήνυμα αυτό δεν παραδόθηκε",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't send this message because we couldn't find %@.",,"Δεν μπορέσαμε να στείλουμε αυτό το μήνυμα επειδή δεν ήταν δυνατή η εύρεση του χρήστη %@.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ has a Do Not Disturb status and didn't get this message:",,""Ο χρήστης %@ είναι σε κατάσταση ""Μην ενοχλείτε"" και δεν έλαβε αυτό το μήνυμα:"",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is offline and didn’t get this message:",,"Ο χρήστης %@ βρίσκεται εκτός σύνδεσης και δεν έλαβε το μήνυμα:",,"None",,"All",,"Skype for Business for iOS",,""
"%@ didn’t get this message because of a server issue:",,"Ο χρήστης %@ δεν έλαβε το μήνυμα, λόγω σφάλματος διακομιστή:",,"None",,"All",,"Skype for Business for iOS",,""
"This message may not have been sent to %@ because the server timed out:",,"Αυτό το μήνυμα ενδέχεται να μην στάλθηκε στο χρήστη %@ επειδή έληξε το χρονικό όριο του διακομιστή:",,"None",,"All",,"Skype for Business for iOS",,""
"You're not authorized to send IMs to %@. We didn't send this:",,"Δεν έχετε εξουσιοδότηση να στέλνετε άμεσα μηνύματα στο χρήστη %@. Δεν το στείλαμε αυτό:",,"None",,"All",,"Skype for Business for iOS",,""
"Failed to send:",,"Η αποστολή απέτυχε:",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn’t complete your call.",,"Δεν μπορέσαμε να ολοκληρώσουμε την κλήση σας.",,"None",,"All",,"Skype for Business for iOS",,""
""We are unable to forward calls to this contact. Please select one of your Skype for Business contacts to forward calls to or select ""New Number"" to enter a phone number."",,""Δεν είναι δυνατή η προώθηση κλήσεων σε αυτήν την επαφή. Επιλέξτε μία από τις επαφές σας στο Skype για επιχειρήσεις, για να κάνετε προώθηση κλήσεων ή επιλέξτε ""Νέος αριθμός"" για να εισαγάγετε έναν αριθμό τηλεφώνου."",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t sign you in. Please verify that your user name is in the format someone@example.com, and your password is valid.",,"Δεν είναι δυνατή η είσοδος. Επιβεβαιώστε ότι το όνομα χρήστη που χρησιμοποιείτε είναι της μορφής someone@example.com και ότι ο κωδικός πρόσβασής σας είναι σωστός.",,"None",,"All",,"Skype for Business for iOS",,""
"That isn't valid sign-in info.  You need to sign in using the Skype for Business account provided by your organization.",,"Οι πληροφορίες εισόδου δεν είναι έγκυρες.  Πρέπει να εισέλθετε με το λογαριασμό Skype για επιχειρήσεις που παρέχεται από τον οργανισμό σας.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t sign you in. Proxy settings aren’t valid. Please check them and try again.",,"Δεν είναι δυνατή η είσοδος. Οι ρυθμίσεις του διακομιστή μεσολάβησης δεν είναι έγκυρες. Ελέγξτε τις και δοκιμάστε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
"One or more discovery server addresses are incorrect. Please check them and retry.",,"Μία ή περισσότερες διευθύνσεις διακομιστή εντοπισμού είναι εσφαλμένες. Ελέγξτε τις διευθύνσεις και δοκιμάστε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t sign in. Please verify your sign-in address and try again.",,"Δεν είναι δυνατή η είσοδος. Επαληθεύστε τη διεύθυνση εισόδου σας και δοκιμάστε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect to Exchange.  Please check your account info and try again.",,"Δεν είναι δυνατή η σύνδεση στο Exchange. Ελέγξτε τις πληροφορίες του λογαριασμού σας και δοκιμάστε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect to the server right now.  Please try again.",,"Δεν είναι δυνατή η σύνδεση στο διακομιστή αυτήν τη στιγμή. Δοκιμάστε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t sign you in. Please try again.",,"Δεν είναι δυνατή η είσοδος. Δοκιμάστε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
