"to %1$@ %2$@",,"bis %2$@ %1$@",,"None",,"All",,"Skype for Business for iOS",,""
"Call Back",,"Rückruf",,"None",,"All",,"Skype for Business for iOS",,""
"Call %@",,"Anrufen: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Call ended - %@ [Duration: %@]",,"Anruf getrennt – %@ [Dauer: %@]",,"None",,"All",,"Skype for Business for iOS",,""
"Call ended - %@ [Missed]",,"Anruf getrennt – %@ [Verpasst]",,"None",,"All",,"Skype for Business for iOS",,""
"Call forwarding",,"Anrufweiterleitung",,"None",,"All",,"Skype for Business for iOS",,""
"Home: %@",,"Zu Hause: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Skype for Business Call",,"Skype for Business-Anruf",,"None",,"All",,"Skype for Business for iOS",,""
"Mobile: %@",,"Handy: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Other: %@",,"Andere: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Call started - %@",,"Anruf verbunden – %@",,"None",,"All",,"Skype for Business for iOS",,""
"Connected",,"Verbunden",,"None",,"All",,"Skype for Business for iOS",,""
"Connected via PSTN",,"Per Festnetz angeschlossen",,"None",,"All",,"Skype for Business for iOS",,""
"Connecting...",,"Verbinden...",,"None",,"All",,"Skype for Business for iOS",,""
"On Hold",,"Wird gehalten",,"None",,"All",,"Skype for Business for iOS",,""
"Hold",,"Halten",,"None",,"All",,"Skype for Business for iOS",,""
"Server is calling. Please wait.",,"Server ruft an. Bitte warten Sie.",,"None",,"All",,"Skype for Business for iOS",,""
"Transferring",,"Durchstellen",,"None",,"All",,"Skype for Business for iOS",,""
"Work: %@",,"Arbeit: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Call for %@",,"Anruf für %@",,"None",,"All",,"Skype for Business for iOS",,""
"Call via Work",,"Über Büro anrufen",,"None",,"All",,"Skype for Business for iOS",,""
"You’ve joined from %1$@",,"Sie nehmen über %1$@ teil.",,"None",,"All",,"Skype for Business for iOS",,""
"You've joined from %1$@.",,"Sie nehmen über %1$@ teil.",,"None",,"All",,"Skype for Business for iOS",,""
"Connecting...\n Answer the next incoming call.",,"Verbindung herstellen...\n Den nächsten eingehenden Anruf beantworten.",,"None",,"All",,"Skype for Business for iOS",,""
"You can't make a Skype for Business call because you’re offline. Try calling from your mobile number.",,"Sie können keine Skype for Business-Anrufe führen, da Sie offline sind. Versuchen Sie stattdessen, von Ihrer Mobilfunknummer aus anzurufen.",,"None",,"All",,"Skype for Business for iOS",,""
"You can't make a Skype for Business call because you're offline.",,"Sie können keinen Skype for Business-Anruf führen, da Sie offline sind.",,"None",,"All",,"Skype for Business for iOS",,""
"This might take up to 30 seconds",,"Dies kann bis zu 30 Sekunden dauern",,"None",,"All",,"Skype for Business for iOS",,""
"Calling you back on %@",,"Rückruf an %@",,"None",,"All",,"Skype for Business for iOS",,""
"Camera Access",,"Kamerazugriff",,"None",,"All",,"Skype for Business for iOS",,""
"You have disabled access to the camera. After this call, you can address this by visiting your iOS settings, scrolling to Business, and turning on access to the Camera.",,"Sie haben den Zugriff auf die Kamera deaktiviert. Nach diesem Aufruf können Sie das Problem beheben, indem Sie zu den iOS-Einstellungen gehen, einen Bildlauf zu Business durchführen und den Zugriff auf die Kamera aktivieren.",,"None",,"All",,"Skype for Business for iOS",,""
"To share your video in calls and meetings, change your settings to allow Skype for Business to access your camera.",,"Um Ihre Videos in Anrufen und Besprechungen zu teilen, ändern Sie Ihre Einstellungen, um Skype for Business Zugriff auf die Kamera zu gewähren.",,"None",,"All",,"Skype for Business for iOS",,""
"This message is rights-managed. Tap Play to receive a call to hear it.",,""Nachricht unterliegt Rechteverwaltung. Tippen Sie auf ""Wiedergabe"", um die Nachricht als Anruf zu empfangen."",,"None",,"All",,"Skype for Business for iOS",,""
"We can't play this message. Tap Play to receive a call to hear it.",,""Diese Nachricht kann nicht wiedergegeben werden. Tippen Sie auf ""Wiedergabe"", um die Nachricht als Anruf zu empfangen."",,"None",,"All",,"Skype for Business for iOS",,""
"We can't play this message. Please check your network connection and try again later.",,"Diese Nachricht kann nicht wiedergegeben werden. Überprüfen Sie die Netzwerkverbindung, und wiederholen Sie den Vorgang später.",,"None",,"All",,"Skype for Business for iOS",,""
"Cancel sign-in",,"Anmeldung abbrechen",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t get the group members right now. Try again later.",,"Die Gruppenmitglieder sind momentan nicht erreichbar. Versuchen Sie es später erneut.",,"None",,"All",,"Skype for Business for iOS",,""
"Normal carrier and roaming charges may apply to calls.\n\nYou can change the dial-in number if needed.",,"Normale Netzbetreiber- und Roaminggebühren können bei Anrufen anfallen.\n\nBei Bedarf können Sie die Einwahlnummer wechseln.",,"None",,"All",,"Skype for Business for iOS",,""
"Normal carrier and roaming charges may apply to calls.",,"Normale Netzbetreiber- und Roaminggebühren können bei Anrufen anfallen.",,"None",,"All",,"Skype for Business for iOS",,""
"Carrier Charges",,"Gebühren des Netzbetreibers",,"None",,"All",,"Skype for Business for iOS",,""
"Cellular",,"Mobilfunkverbindung",,"None",,"All",,"Skype for Business for iOS",,""
"We will always call you on %@",,"Wir rufen Sie immer an unter %@",,"None",,"All",,"Skype for Business for iOS",,""
"%@ - Change",,"%@ - Ändern",,"None",,"All",,"Skype for Business for iOS",,""
"Current Call",,"Aktiver Anruf",,"None",,"All",,"Skype for Business for iOS",,""
"Current Call, %@",,"Aktueller Anruf, %@",,"None",,"All",,"Skype for Business for iOS",,""
"Meeting",,"Besprechung",,"None",,"All",,"Skype for Business for iOS",,""
"Meeting, %@",,"Besprechung, %@",,"None",,"All",,"Skype for Business for iOS",,""
"Missed Call",,"Verpasster Anruf",,"None",,"All",,"Skype for Business for iOS",,""
"Missed Video Call",,"Verpasster Videoanruf",,"None",,"All",,"Skype for Business for iOS",,""
"Phone Call",,"Telefonanruf",,"None",,"All",,"Skype for Business for iOS",,""
"Video Call",,"Videoanruf",,"None",,"All",,"Skype for Business for iOS",,""
"FYI: This list is full. The oldest conversations will be removed as new ones are added.",,"Zur Info: Diese Liste ist voll. Die ältesten Unterhaltungen werden entfernt, wenn neue hinzugefügt werden.",,"None",,"All",,"Skype for Business for iOS",,""
"Clear",,"Löschen",,"None",,"All",,"Skype for Business for iOS",,""
"Close",,"Schließen",,"None",,"All",,"Skype for Business for iOS",,""
"Delete Conversation",,"Unterhaltung löschen",,"None",,"All",,"Skype for Business for iOS",,""
"%@ wants to start presenting",,"%@ möchte mit einer Präsentation beginnen.",,"None",,"All",,"Skype for Business for iOS",,""
"Sorry, we can't play the media in this presentation.",,"Leider können die Medien in dieser Präsentation nicht wiedergegeben werden.",,"None",,"All",,"Skype for Business for iOS",,""
"Collaboration",,"Zusammenarbeit",,"None",,"All",,"Skype for Business for iOS",,""
"Group %@, Collapsed",,"Gruppe %@, reduziert",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to expand.",,"Doppeltippen Sie zum Erweitern.",,"None",,"All",,"Skype for Business for iOS",,""
"Company",,"Firma",,"None",,"All",,"Skype for Business for iOS",,""
"Conference Call",,"Konferenzanruf",,"None",,"All",,"Skype for Business for iOS",,""
"You have participants waiting in the Lobby.",,"Einige Teilnehmer befinden sich im Wartebereich.",,"None",,"All",,"Skype for Business for iOS",,""
"A presenter muted you.",,"Ein Referent hat Sie stumm geschaltet.",,"None",,"All",,"Skype for Business for iOS",,""
"A presenter wants you to unmute yourself.",,"Ein Referent möchte, dass Sie Ihre Stummschaltung aufheben.",,"None",,"All",,"Skype for Business for iOS",,""
"A presenter turned off meeting IM.",,"Ein Referent hat den Besprechungschat deaktiviert.",,"None",,"All",,"Skype for Business for iOS",,""
"A presenter turned on meeting IM.",,"Ein Referent hat den Besprechungschat aktiviert.",,"None",,"All",,"Skype for Business for iOS",,""
"Restarting this conversation will send a new invite to everyone who was in it.",,"Beim erneuten Starten dieser Unterhaltung wird eine neue Einladung an alle bisherigen Teilnehmer gesendet.",,"None",,"All",,"Skype for Business for iOS",,""
"You're disconnected from the meeting. Tap below to rejoin.",,"Sie sind von der Besprechung getrennt. Tippen Sie unten, um wieder teilzunehmen.",,"None",,"All",,"Skype for Business for iOS",,""
"You've been disconnected from the conference.",,"Sie wurden von der Konferenz getrennt.",,"None",,"All",,"Skype for Business for iOS",,""
"A presenter locked the video spotlight on someone.",,"Ein Referent hat das Videospotlight fest auf eine Person eingestellt.",,"None",,"All",,"Skype for Business for iOS",,""
"Everyone is locked on your video.",,"Alle Teilnehmer sehen Ihr Video in der gesperrten Ansicht.",,"None",,"All",,"Skype for Business for iOS",,""
"No one's locked on your video anymore.",,"Kein Teilnehmer sieht Ihr Video mehr in der gesperrten Ansicht.",,"None",,"All",,"Skype for Business for iOS",,""
"A presenter unlocked the video spotlight.",,"Ein Referent hat die Sperrung des Videospotlights aufgehoben.",,"None",,"All",,"Skype for Business for iOS",,""
"Confirm Callback",,"Rückruf bestätigen",,"None",,"All",,"Skype for Business for iOS",,""
"You will receive a call from the server. This may take up to 30 seconds.",,"Sie erhalten einen Anruf vom Server. Dies kann bis zu 30 Sekunden dauern.",,"None",,"All",,"Skype for Business for iOS",,""
"This will remove %@ from your Contacts list.",,"Durch diesen Vorgang wird %@ aus Ihrer Kontaktliste entfernt.",,"None",,"All",,"Skype for Business for iOS",,""
"Contact",,"Kontakt",,"None",,"All",,"Skype for Business for iOS",,""
"Contacts",,"Kontakte",,"None",,"All",,"Skype for Business for iOS",,""
"Skype for Business can't show your iPad contacts. You can fix that in your iPad settings.",,"Skype for Business kann Ihre iPad-Kontakte nicht anzeigen. Sie können dies später in Ihren iPad-Einstellungen beheben.",,"None",,"All",,"Skype for Business for iOS",,""
"Skype for Business can't show your iPhone contacts. You can fix that in your iPhone settings.",,"Skype for Business kann Ihre iPhone-Kontakte nicht anzeigen. Sie können dies später in Ihren iPhone-Einstellungen beheben.",,"None",,"All",,"Skype for Business for iOS",,""
"Continue",,"Weiter",,"None",,"All",,"Skype for Business for iOS",,""
"Continue, Don't Ask Again",,"Fortfahren, nicht mehr fragen",,"None",,"All",,"Skype for Business for iOS",,""
"Conversation with %@",,"Unterhaltung mit %@",,"None",,"All",,"Skype for Business for iOS",,""
"Chats",,"Chats",,"None",,"All",,"Skype for Business for iOS",,""
"This list is almost full. The oldest conversations will be removed as new ones are added.",,"Diese Liste ist fast voll. Die ältesten Unterhaltungen werden entfernt, wenn neue hinzugefügt werden.",,"None",,"All",,"Skype for Business for iOS",,""
"Someone is recording this meeting.",,"Jemand zeichnet diese Besprechung auf.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is recording this call.",,"%@ zeichnet diesen Anruf auf.",,"None",,"All",,"Skype for Business for iOS",,""
"Recording this call.",,"Dieser Anruf wird aufgezeichnet.",,"None",,"All",,"Skype for Business for iOS",,""
"Resumed",,"Wieder aufgenommen",,"None",,"All",,"Skype for Business for iOS",,""
"Current call is on hold",,"Aktueller Anruf ist zurückgestellt",,"None",,"All",,"Skype for Business for iOS",,""
"Custom",,"Benutzerdefiniert",,"None",,"All",,"Skype for Business for iOS",,""
"The distribution group no longer exists.",,"Die Verteilergruppe besteht nicht mehr.",,"None",,"All",,"Skype for Business for iOS",,""
"There was a problem accessing phone numbers from your Contacts. Try re-syncing your mail accounts in Settings to fix the problem.",,"Beim Zugriff auf die Telefonnummern in Ihren Kontakten ist ein Fehler aufgetreten. Versuchen Sie, Ihre E-Mail-Konten in „Einstellungen“ erneut zu synchronisieren, um das Problem zu beheben.",,"None",,"All",,"Skype for Business for iOS",,""
"Problem with Contacts",,"Problem mit Kontakten",,"None",,"All",,"Skype for Business for iOS",,""
"Connecting ...",,"Verbinden...",,"None",,"All",,"Skype for Business for iOS",,""
"Presenter: %@",,"Referent: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Some presenting features are unavailable due to server connectivity issues.",,"Einige Präsentationsfunktionen sind aufgrund von Serververbindungsproblemen nicht verfügbar.",,"None",,"All",,"Skype for Business for iOS",,""
"The presenter is using a feature that isn’t supported by this version of Skype for Business or they could be connected to an older server.",,"Der Referent verwendet eine Funktion, die von dieser Version von Skype for Business nicht unterstützt wird, oder es besteht eine Verbindung mit einem älteren Server.",,"None",,"All",,"Skype for Business for iOS",,""
"Initializing ...",,"Initialisierung wird ausgeführt...",,"None",,"All",,"Skype for Business for iOS",,""
"The presenter is using a feature that isn’t supported by this version of Skype for Business.",,"Der Referent verwendet eine Funktion, die von dieser Version von Skype for Business nicht unterstützt wird.",,"None",,"All",,"Skype for Business for iOS",,""
"Loading...",,"Wird geladen...",,"None",,"All",,"Skype for Business for iOS",,""
"Presenters have stopped sharing the content.",,"Die Referenten haben die Freigabe des Inhalts beendet.",,"None",,"All",,"Skype for Business for iOS",,""
"No one is presenting",,"Keine aktive Präsentation",,"None",,"All",,"Skype for Business for iOS",,""
"Attach",,"Anfügen",,"None",,"All",,"Skype for Business for iOS",,""
"Would you like to rename it and upload again?",,"Möchten Sie sie umbenennen und nochmal hochladen?",,"None",,"All",,"Skype for Business for iOS",,""
"This file is already uploaded",,"Diese Datei ist bereits hochgeladen",,"None",,"All",,"Skype for Business for iOS",,""
"Data collaboration.",,"Datenzusammenarbeit.",,"None",,"All",,"Skype for Business for iOS",,""
"Data collaboration is loading.",,"Datenzusammenarbeit wird geladen.",,"None",,"All",,"Skype for Business for iOS",,""
"Next slide",,"Nächste Folie",,"None",,"All",,"Skype for Business for iOS",,""
"No content to display.",,"Kein Inhalt zum Anzeigen vorhanden.",,"None",,"All",,"Skype for Business for iOS",,""
"Previous slide",,"Vorherige Folie",,"None",,"All",,"Skype for Business for iOS",,""
"Present",,"Präsentieren",,"None",,"All",,"Skype for Business for iOS",,""
"Stop presentation",,"Präsentation beenden",,"None",,"All",,"Skype for Business for iOS",,""
"Take over as Presenter",,"Als Referent übernehmen",,"None",,"All",,"Skype for Business for iOS",,""
"Unable to start iCloud document picker.",,"iCloud-Dokumentenauswahl konnte nicht gestartet werden.",,"None",,"All",,"Skype for Business for iOS",,""
"Content can't be viewed on mobile apps.",,"Inhalt kann nicht auf Mobile Apps angezeigt werden.",,"None",,"All",,"Skype for Business for iOS",,""
"Upload failed.",,"Fehler beim Upload.",,"None",,"All",,"Skype for Business for iOS",,""
"Upload failed. Content already exists.",,"Fehler beim Upload. Inhalt ist bereits vorhanden.",,"None",,"All",,"Skype for Business for iOS",,""
"Upload failed. File size too big.",,"Fehler beim Upload. Datei zu groß.",,"None",,"All",,"Skype for Business for iOS",,""
"Upload failed. User is not authorized.",,"Fehler beim Upload. Benutzer ist nicht autorisiert.",,"None",,"All",,"Skype for Business for iOS",,""
"Upload failed. File may contain virus.",,"Fehler beim Upload. Datei kann Virus enthalten.",,"None",,"All",,"Skype for Business for iOS",,""
"Use Exisiting",,"Bestehende verwenden",,"None",,"All",,"Skype for Business for iOS",,""
"Decline",,"Ablehnen",,"None",,"All",,"Skype for Business for iOS",,""
"Failed to process the server response. Please try again. If the problem persists, contact your support team.",,"Fehler beim Verarbeiten der Serverreaktion. Wiederholen Sie den Vorgang. Wenn das Problem fortbesteht, wenden Sie sich an das Supportteam.",,"None",,"All",,"Skype for Business for iOS",,""
"your delegates",,"Ihren Stellvertretungen",,"None",,"All",,"Skype for Business for iOS",,""
"Delegates",,"Stellvertretungen",,"None",,"All",,"Skype for Business for iOS",,""
"Delete",,"Löschen",,"None",,"All",,"Skype for Business for iOS",,""
"Delete (%d)",,"(%d) löschen",,"None",,"All",,"Skype for Business for iOS",,""
"Make Attendee",,"Status in „Teilnehmer“ ändern",,"None",,"All",,"Skype for Business for iOS",,""
"Deny",,"Ablehnen",,"None",,"All",,"Skype for Business for iOS",,""
"Deny all",,"Alle ablehnen",,"None",,"All",,"Skype for Business for iOS",,""
"Department",,"Abteilung",,"None",,"All",,"Skype for Business for iOS",,""
"Deselect All",,"Alle abwählen",,"None",,"All",,"Skype for Business for iOS",,""
"Card",,"Karte",,"None",,"All",,"Skype for Business for iOS",,""
"Please reconnect the device and try again",,"Verbinden Sie das Gerät erneut, und versuchen Sie es erneut",,"None",,"All",,"Skype for Business for iOS",,""
"Oregon Speakerphone Disconnected",,"Oregon Speakerphone getrennt",,"None",,"All",,"Skype for Business for iOS",,""
"Device Model:",,"Modell des Geräts:",,"None",,"All",,"Skype for Business for iOS",,""
"Device OS Name:",,"Betriebssystemname des Geräts:",,"None",,"All",,"Skype for Business for iOS",,""
"Device OS Version:",,"Betriebssystemversion des Geräts:",,"None",,"All",,"Skype for Business for iOS",,""
"Mobile",,"Mobil",,"None",,"All",,"Skype for Business for iOS",,""
"Dial In",,"Einwahl",,"None",,"All",,"Skype for Business for iOS",,""
"City/State",,"Ort/Bundesland",,"None",,"All",,"Skype for Business for iOS",,""
"Clear Recent Locations",,"Zuletzt verwendete Orte löschen",,"None",,"All",,"Skype for Business for iOS",,""
"Country/Region",,"Land/Region",,"None",,"All",,"Skype for Business for iOS",,""
"Current Number",,"Aktuelle Nummer",,"None",,"All",,"Skype for Business for iOS",,""
"To find a local dial-in number and avoid possible charges, change the location below.",,"Um eine lokale Einwahlnummer zu suchen und mögliche Gebühren zu vermeiden, ändern Sie unten den Ort.",,"None",,"All",,"Skype for Business for iOS",,""
"Recent Locations",,"Zuletzt verwendete Orte",,"None",,"All",,"Skype for Business for iOS",,""
"Select",,"Auswählen",,"None",,"All",,"Skype for Business for iOS",,""
"Location",,"Ort",,"None",,"All",,"Skype for Business for iOS",,""
"Keypad",,"Wähltastatur",,"None",,"All",,"Skype for Business for iOS",,""
"Dial Pad",,"Wähltastatur",,"None",,"All",,"Skype for Business for iOS",,""
"Dialpad",,"Wähltastatur",,"None",,"All",,"Skype for Business for iOS",,""
"Pound",,"Nummernzeichen",,"None",,"All",,"Skype for Business for iOS",,""
"Star",,"Sternsymbol",,"None",,"All",,"Skype for Business for iOS",,""
"Phone contacts",,"Telefonkontakte",,"None",,"All",,"Skype for Business for iOS",,""
"Recent calls",,"Letzte Anrufe",,"None",,"All",,"Skype for Business for iOS",,""
"%@, Disabled",,"%@, deaktiviert",,"None",,"All",,"Skype for Business for iOS",,""
"You were disconnected because you joined from another client.",,"Die Verbindung wurde getrennt, da Sie sich von einem anderen Client aus angemeldet haben.",,"None",,"All",,"Skype for Business for iOS",,""
"Network issues are keeping you from seeing the presentation.",,"Netzwerkprobleme verhindern, dass Sie die Präsentation sehen.",,"None",,"All",,"Skype for Business for iOS",,""
"Dismiss",,"Schließen",,"None",,"All",,"Skype for Business for iOS",,""
"Do Not Disturb",,"Nicht stören",,"None",,"All",,"Skype for Business for iOS",,""
"Do Not Forward",,"Nicht weiterleiten",,"None",,"All",,"Skype for Business for iOS",,""
"Calls will ring you at work and won't be forwarded. You won't receive calls on your mobile phone when VoIP is unavailable.",,"Anrufe gehen nur bei der Arbeit ein und werden nicht weitergeleitet. Wenn VoIP nicht verfügbar ist, empfangen Sie keine Anrufe auf dem Mobiltelefon.",,"None",,"All",,"Skype for Business for iOS",,""
"Calls will ring you at work and will not be forwarded to any other phone numbers.",,"Anrufe gehen nur bei der Arbeit ein und werden nicht an andere Rufnummern weitergeleitet.",,"None",,"All",,"Skype for Business for iOS",,""
"Calls will ring you at work and won't be forwarded. You won’t get calls on your iPad when VoIP is unavailable.",,"Anrufe gehen bei Ihrer Arbeit ein und werden nicht weitergeleitet. Sie erhalten keine Anrufe auf Ihrem iPad, wenn VoIP nicht verfügbar ist.",,"None",,"All",,"Skype for Business for iOS",,""
"Help us test the latest features by installing the Dogfood version of Skype for Business",,"Helfen Sie uns, die neuesten Funktionen zu testen, indem Sie die Dogfood-Version von Skype for Business installieren",,"None",,"All",,"Skype for Business for iOS",,""
"Domain",,"Domäne",,"None",,"All",,"Skype for Business for iOS",,""
"Done",,"Fertig",,"None",,"All",,"Skype for Business for iOS",,""
"Don't Send",,"Nicht senden",,"None",,"All",,"Skype for Business for iOS",,""
"Duration:",,"Dauer:",,"None",,"All",,"Skype for Business for iOS",,""
"During Outlook Work Hours",,"In Arbeitszeit gemäß Outlook",,"None",,"All",,"Skype for Business for iOS",,""
"During Working Hours",,"Während der Arbeitszeit",,"None",,"All",,"Skype for Business for iOS",,""
"Email",,"E-Mail",,"None",,"All",,"Skype for Business for iOS",,""
"We can't add this contact right now. Please try again later.",,"Dieser Kontakt kann zurzeit nicht hinzugefügt werden. Versuchen Sie es später erneut.",,"None",,"All",,"Skype for Business for iOS",,""
"You can't add any more contacts to this group.",,"Sie können dieser Gruppe keine weiteren Kontakte hinzufügen.",,"None",,"All",,"Skype for Business for iOS",,""
"The contact is already in this group.",,"Der Kontakt befindet sich bereits in dieser Gruppe.",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn’t add the participant.",,"Wir konnten den Teilnehmer nicht hinzufügen.",,"None",,"All",,"Skype for Business for iOS",,""
"You’ve been signed out due to inactivity.",,"Sie wurden aufgrund von Inaktivität abgemeldet.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t sign you in. Please check your account details, advanced options and try again.",,"Sie können nicht angemeldet werden. Überprüfen Sie Ihre Kontoinformationen und die erweiterten Optionen, und wiederholen Sie den Vorgang.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t sign you in. Please contact your support team.",,"Sie können nicht angemeldet werden. Wenden Sie sich an das lokale Supportteam.",,"None",,"All",,"Skype for Business for iOS",,""
"Your password has expired. Please update it and try again.",,"Das Kennwort ist abgelaufen. Aktualisieren Sie es, und wiederholen Sie den Vorgang.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect to the server. 1) It might be unavailable. 2) Check your network connection. 3) Make sure you’re using the Skype for Business account info provided by your organization. 4) Your user name might be different from your sign-in name. Tap Advanced Options and enter your user name or domain\\username.",,"Es kann keine Serververbindung hergestellt werden. 1) Der Server ist möglicherweise nicht verfügbar. 2) Überprüfen Sie Ihre Netzwerkverbindung. 3) Überprüfen Sie, ob Sie die von Ihrer Organisation bereitgestellten Skype for Business-Kontoinformationen verwenden. 4) Ihr Benutzername weicht möglicherweise von Ihrem Anmeldenamen ab. Tippen Sie auf „Erweiterte Optionen“ und geben Sie Ihren Benutzernamen oder domäne\\benutzername ein.",,"None",,"All",,"Skype for Business for iOS",,""
"Your server configuration has changed. Please restart Skype for Business.",,"Ihre Serverkonfiguration hat sich geändert. Bitte starten Sie Skype for Business erneut.",,"None",,"All",,"Skype for Business for iOS",,""
"Your call ended due to connectivity issues. Please retry.",,"Der Anruf wurde aufgrund von Verbindungsproblemen beendet. Versuchen Sie es erneut.",,"None",,"All",,"Skype for Business for iOS",,""
"Can't connect to the server. Attempting to re-establish the connection. If the problem persists, contact your support team.",,"Verbindung mit Server nicht möglich. Wiederherstellung der Verbindung wird versucht. Wenn das Problem weiterhin besteht, wenden Sie sich an das Supportteam.",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't sign you in. Please try again. If the problem persists, please contact your support team.",,"Wir konnten Sie nicht anmelden. Versuchen Sie es erneut. Wenn das Problem fortbesteht, wenden Sie sich an Ihr Supportteam.",,"None",,"All",,"Skype for Business for iOS",,""
"You can’t sign in with this version of Skype for Business. Please install a newer version. If that doesn’t work, contact your support team.",,"Sie können sich mit dieser Version von Skype for Business nicht anmelden. Installieren Sie eine neuere Version. Wenn das nicht funktioniert, wenden Sie sich an das Supportteam.",,"None",,"All",,"Skype for Business for iOS",,""
"We can't sign you in because your organization doesn't support this version of Skype for Business. Please install Lync 2010 from your mobile store.",,"Sie können nicht angemeldet werden, da Ihre Organisation diese Version von Skype for Business nicht unterstützt. Bitte installieren Sie Lync 2010 aus Ihrem mobilen Store.",,"None",,"All",,"Skype for Business for iOS",,""
"You were disconnected from the presentation due to network issues.",,"Sie wurden wegen Netzwerkproblemen von der Präsentation getrennt.",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't join you to the meeting. Please try again.",,"Wir konnten Sie nicht mit der Besprechung verbinden. Versuchen Sie es erneut.",,"None",,"All",,"Skype for Business for iOS",,""
"You can't join the meeting because it's locked. Try contacting the organizer.",,"Sie können nicht an der Besprechung teilnehmen, weil sie gesperrt ist. Versuchen Sie, sich an den Organisator zu wenden.",,"None",,"All",,"Skype for Business for iOS",,""
"You're not set up to join Skype Meetings.",,"Sie sind nicht für die Teilnahme an Skype-Besprechungen eingerichtet.",,"None",,"All",,"Skype for Business for iOS",,""
"You were denied entry by the presenter.",,"Der Zutritt wurde Ihnen vom Referenten verweigert.",,"None",,"All",,"Skype for Business for iOS",,""
"Can't join conference while application is not signed in.",,"An der Konferenz kann nicht teilgenommen werden, wenn die Anwendung nicht angemeldet ist.",,"None",,"All",,"Skype for Business for iOS",,""
"You were removed from the meeting.",,"Sie wurden aus der Besprechung entfernt.",,"None",,"All",,"Skype for Business for iOS",,""
"You're joining using a meetings-only version of the app. We'll sign you back in to the regular app when you're done.",,"Sie nehmen mit einer App-Version teil, die nur Besprechungen unterstützt. Wenn Sie fertig sind, werden Sie wieder bei der regulären App angemeldet.",,"None",,"All",,"Skype for Business for iOS",,""
"The server does not support anonymous meeting join via this device.",,"Der Server unterstützt keine anonyme Teilnahme an Besprechungen über dieses Gerät.",,"None",,"All",,"Skype for Business for iOS",,""
"You can’t start a meeting because another one is starting.",,"Sie können keine Besprechung starten, da eine andere Besprechung gerade beginnt.",,"None",,"All",,"Skype for Business for iOS",,""
"The call was disconnected.",,"Die Verbindung wurde getrennt.",,"None",,"All",,"Skype for Business for iOS",,""
"The call wasn't completed or has ended.",,"Die Verbindung wurde nicht hergestellt oder ist beendet.",,"None",,"All",,"Skype for Business for iOS",,""
"This online meeting can’t be found.",,"Diese Onlinebesprechung kann nicht gefunden werden.",,"None",,"All",,"Skype for Business for iOS",,""
"You can't join this type of online meeting.",,"Sie können an Onlinebesprechungen dieser Art nicht teilnehmen.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t join the meeting as an anonymous attendee.",,"Die Teilnahme an der Besprechung als anonymer Teilnehmer ist nicht möglich.",,"None",,"All",,"Skype for Business for iOS",,""
"You don’t have permission to join the meeting.",,"Sie sind nicht zur Teilnahme an der Besprechung berechtigt.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t join this meeting from outside your organization.",,"Die Teilnahme an der Besprechung von außerhalb der Organisation ist nicht möglich.",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn’t join you to the meeting. Please try again.",,"Wir konnten Sie nicht mit der Besprechung verbinden. Versuchen Sie es erneut.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t join the meeting due to an invitation error.",,"Die Teilnahme an der Besprechung ist aufgrund eines Einladungsfehlers nicht möglich.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t join this type of online meeting.",,"Die Teilnahme an Onlinebesprechungen dieses Typs ist nicht möglich.",,"None",,"All",,"Skype for Business for iOS",,""
"You can’t join the meeting because the network is busy.",,"Sie können nicht an der Besprechung teilnehmen, da das Netzwerk ausgelastet ist.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t reach %@.",,"%@ kann nicht erreicht werden.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t reach %@. Try again later.",,"%@ kann nicht erreicht werden. Wiederholen Sie den Vorgang später.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t start the Skype Meeting due to encryption issues.",,"Die Skype-Besprechung kann aufgrund von Verschlüsselungsproblemen nicht gestartet werden.",,"None",,"All",,"Skype for Business for iOS",,""
"The meeting you're trying to join isn’t available.",,"Die Besprechung, an der Sie teilnehmen möchten, ist nicht verfügbar.",,"None",,"All",,"Skype for Business for iOS",,""
"This meeting was ended due to inactivity.",,"Diese Besprechung wurde aufgrund von Inaktivität beendet.",,"None",,"All",,"Skype for Business for iOS",,""
